entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,position_size,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,vix_cap
2014-06-01 00:00:00,2014-06-06 00:00:00,1919.0,1940.75,1.0834028139656116,8,1.0,Time Exit (Days),long,0.06513809275663363,0.2996352266805724,1.6023970818134448,0.4429390307451708,30
2014-06-10 00:00:00,2014-06-12 12:58:00,1946.75,1927.2825,-1.050000000000001,1,1.0,Stop Loss,long,-0.1155772441248204,-0.9888275330679375,-0.5907281366379857,-0.32104790034672703,30
2014-06-16 09:11:00,2014-06-21 09:11:00,1932.5,1953.75,1.0496119016817518,8,1.0,Time Exit (Days),long,0.8926261319534223,1.0996119016817518,0.413971539456659,1.733505821474779,30
2014-06-22 00:00:00,2014-06-27 00:00:00,1953.75,1945.25,-0.4850607805502227,8,1.0,Time Exit (Days),long,-0.14075495841330277,-0.1791426743442126,-0.07677543186180857,1.1132437619961522,30
2014-06-27 02:39:00,2014-07-02 02:39:00,1947.25,1965.5,0.8872191552188935,8,1.0,Time Exit (Days),long,0.9628963923481892,1.5149569906278026,1.4507638978045856,0.7959943510078338,30
2014-07-03 00:00:00,2014-07-08 00:00:00,1966.75,1969.25,0.07711325791279204,8,1.0,Time Exit (Days),long,0.44489640269480546,-0.3177831447820023,-0.44489640269480546,-0.800813524850641,30
2014-07-09 13:19:00,2014-07-10 07:56:00,1966.25,1946.5875,-1.050000000000001,1,1.0,Stop Loss,long,-0.1780038143674556,0.07628734901461431,-0.7755880483153232,0.6102987921169811,30
2014-07-11 03:05:00,2014-07-16 03:05:00,1963.5,1970.0,0.2810415075120865,8,1.0,Time Exit (Days),long,0.21645021645022577,-0.6366182836771039,0.3947033358798091,0.36923860453272894,30
2014-07-18 10:16:00,2014-07-23 10:16:00,1965.25,1982.5,0.8277509222745116,8,1.0,Time Exit (Days),long,0.4833990586439407,0.6614934486706581,0.27986261289911774,-2.45515837679684,30
2014-07-28 01:11:00,2014-07-31 00:00:00,1971.5,1962.5,-0.5065051990869873,4,1.0,MA Cross,long,-0.4565051990869873,-2.76439259447121,-2.9165609941668835,-2.003550595992898,30
