event_date,event_type,surprise_direction,actual_value,forecast_value,surprise_pct,return_day_-2,return_day_-1,return_day_+0,return_day_+1,return_day_+2
2017-02-15,CPI,worse,2.51039,2.4,4.599583333333342,0.5245887483269263,0.4007301621389514,0.4992342508064018,-0.08641055656061214,0.16785814708464297
2017-03-15,CPI,worse,2.81036,2.7,4.087407407407408,0.036668633566550035,-0.33790189048102937,0.8374727853051489,-0.1626657052061442,-0.13143639402364293
2017-03-15,FOMC,inline,0.66,0.66,0.0,0.036668633566550035,-0.33790189048102937,0.29812839283986925,-0.1626657052061442,-0.13143639402364293
2017-04-14,CPI,better,2.4412,2.6,-6.107692307692318,-0.37599095922304926,-0.6814702357852864,0.8613323600764389,0.8613323600764389,0.8613323600764389
2017-05-03,FOMC,worse,0.91,0.66,37.87878787878788,0.173223722842053,0.11891154069998411,0.14845319321141748,0.0582045366039452,0.4088687267735702
2017-05-12,CPI,better,2.17622,2.3,-5.381739130434784,0.11306176259533451,-0.2162833436821554,-0.14784250179582514,0.4776444016897363,0.4776444016897363
2017-06-14,CPI,better,1.85634,2.0,-7.1829999999999945,-0.0978710980068076,0.4511420562363311,-0.09957588050893973,-0.2239614097263254,0.028366345181418673
2017-06-14,FOMC,inline,0.91,0.91,0.0,-0.0978710980068076,0.4511420562363311,-0.017224833288220776,-0.2239614097263254,0.028366345181418673
2017-07-14,CPI,better,1.64057,1.7000000000000002,-3.495882352941181,0.7305619802682184,0.187455233807432,0.46735271648765675,-0.005286121491343554,-0.005286121491343554
2017-07-26,FOMC,inline,1.16,0.91,27.472527472527457,-0.10636834995592093,0.2923183435833865,-0.03187257425503187,-0.09726252406339064,-0.13411865461215866
2017-08-11,CPI,better,1.72511,1.7999999999999998,-4.160555555555551,-0.03636481179190021,-1.447441815345063,0.12755258980974293,1.004374682548792,1.004374682548792
2017-09-14,CPI,worse,1.92812,1.7999999999999998,7.117777777777791,0.3363999180100441,0.07570659488558285,-0.11007176679195263,0.18472363580994688,0.14558660603223306
2017-09-20,FOMC,inline,1.16,1.16,0.0,0.14558660603223306,0.11102812845715793,0.0849922788704216,-0.3045960514145296,0.06478445173156988
